Nombre beneficiario;Nombre operación;Montante;pagado final;concesión/año
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO(2)CTIA WIRELESS 2010-LAS VEGAS-NEVADA(EE.UU);21.281,82;21.281,82;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO5 - COLLECTION PREMIERE I - MOSCU - 2010;7.732,26;7.732,26;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO1 - SIAM 2010 - MEQUINEZ (MARRUECOS);5.839,00;5.839,00;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);PGV PAÍSES BAJOS 2010 - PÁGINA WEB;858,84;858,84;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);PGV PAÍSES BAJOS 2010 -CONCURSO PERSWIJN (PI);557,97;557,97;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO4 GULFOOD 2010 - DUBAI;22.890,01;22.890,01;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO5 ISM 2010, COLONIA (PC);7.528,78;7.528,78;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);PGV REINO UNIDO 2010-HONORAR.AGENCIA DILLON MORR.;1.383,76;1.383,76;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);PGV REINO UNIDO 2010 - WEB WINES FROM SPAIN;439,92;439,92;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO6 FOODEX 2010, TOKIO (PC);12.080,43;12.080,43;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO6 PRODEXPO 2010 - MOSCU;9.462,39;9.462,39;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO(1)LICENSING INTERNATIONAL EXPO-10;6.119,34;6.119,34;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO5 GULFOOD 2010 - Dubai;299,04;299,04;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FP04-LONDON WINE 2010 - LONDRES (PC);3.670,67;3.670,67;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO2 ALIMENTARIA 2010, MÉXICO;17.337,11;17.337,11;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO(1)GAME CONNECTION 2010-SAN FRANCISCO (EEUU);16.371,90;16.371,90;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO8-FOOD - HOTEL ASIA´10-SINGAPUR-EQ.HOSTELERÍA;405,17;405,17;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO ICFF 2010 - DECORACIÓN (2);3.772,57;3.772,57;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO ICFF 2010 - TRANSPORTE Y DESPLAZAMIENTOS (1);183,08;183,08;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO ICFF 2010 - SUMINISTROS Y PROMOCION (3);1.135,99;1.135,99;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPINF1 CARBON EXPO 2010 COLONIA (ALEMANIA);16.865,89;16.865,89;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPINF5 - COSMOPROF 2010 - BOLONIA - ITALIA;7.437,50;7.437,50;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);PGV2 JAPÓN 2010 - LISTADO IMPORTADORES;689,38;689,38;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO(2)LICENSING INTERNATIONAL EXPO-10;7.064,91;7.064,91;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO5 SIAL 2010, PARIS (PC);32.221,79;32.221,79;2010
